Field	Value
Customer Category	INDIVIDUAL
ID Document Type	ID-N - CNIC
ID Document Number	4241700504121
CNIC Issuance Date	2023-10-05
CNIC Expiry Date	2025-12-05
VISA Expiry Date	2025-11-24
Date Of Birth	2005-09-24
Sector Code	1018 - Salaried Person
Nationality	Pakistan
Assan Account	YES
Marital Status	SINGLE
Customer Title	Mr.
Gender	MALE
First Name	Bush
Middle Name	Mike
Last Name	Peter
Father's Name	Rock
Mother's Name	Angelina
Occupation	133 - PRIVATE SERVICE
Industry Code	5101 - Arms Manufacturer/Arms Dealer
Tax Reason (CRS)	REASON A
Tax Residence (CRS)	NO
