Field	Value
Customer Category	INDIVIDUAL
ID Document Type	ID-N - CNIC
ID Document Number	4210412612543
CNIC Issuance Date	2022-01-14
CNIC Expiry Date	2026-12-05
VISA Expiry Date	2025-11-24
Date Of Birth	1999-09-24
Sector Code	1018 - Salaried Person
Nationality	Qatar
Assan Account	YES
Marital Status	SINGLE
Customer Title	Mr.
Gender	MALE
First Name	Wasim
Middle Name	Amir
Last Name	Sohail
Father's Name	Kamran
Mother's Name	Faiza
Occupation	133 - PRIVATE SERVICE
Industry Code	5101 - Arms Manufacturer/Arms Dealer
Tax Reason (CRS)	REASON A
Tax Residence (CRS)	NO
