Field	Value
Account Operational Type	SINGLY
Account Type	1082 - Asaan Account
Currency	PKR - Pakistani Rupee
Debit Card Request	YES
Debit Card Type	610 - MasterCard Pay Pak Debit Card
Debit Card Pickup Branch	9001 - JS Bank Shaheen Complex
Cheque Book Request	NO
Cheque Book Leaves	25 - CHEQUE BOOK 25 LEAVES (PKRA)
Cheque Book Pickup Branch	9006 - DHA Karachi
Geo Business Spread	Within Pakistan
Type of Transactions	Internal Transfers
Expected Modes of Transaction	Internet Bankng
Expected Counter Parties	Individual
Expected Monthly Debit Transactions	070
Expected Monthly Credit Transactions	100
Expected Monthly Debit Turnover	1000000
Expected Monthly Credit Turnover	25000000
Province	Sindh
Photo Account	NO
JS Account Holder	NO
JS Account Number	0002487705
Counter Party Industry	5007 - Mining of metal ores
Name of Counter Party	Jason Pvt.Ltd
Economy Activity	INDUSTRY
Classification of IS	CLASS_A
E-Statement	YES
E-Statement Frequency	602 - Weekly / Bi Annually
SMS Alert	NO
Mobile Telecom	WARID
Internet Banking	YES
Mobile Banking	YES
Account Officer	19203015 - SOLIDER BAZAR KARACH
Account Operational Type (Signature)	SINGLE
Account KYC Remarks	KYC passed
