Field	Value
Customer Category	INDIVIDUAL
ID Document Type	ID-N - CNIC
ID Document Number	4210198857783
CNIC Issuance Date	2023-10-05
CNIC Expiry Date	2026-05-03
VISA Expiry Date	2025-11-24
Date Of Birth	2005-09-24
Sector Code	1018 - Salaried Person
Nationality	Barbados
Assan Account	YES
Marital Status	SINGLE
Customer Title	Mr.
Gender	MALE
First Name	MICHAEL
Middle Name	Stan
Last Name	CLARKE
Father's Name	VIN
Mother's Name	ADELE
Occupation	133 - PRIVATE SERVICE
Industry Code	5101 - Arms Manufacturer/Arms Dealer
Tax Reason (CRS)	REASON A
Tax Residence (CRS)	NO
