Field	Value
Customer Category	INDIVIDUAL
ID Document Type	ID-N - CNIC
ID Document Number	4210465226259
CNIC Issuance Date	2024-11-05
CNIC Expiry Date	2025-08-05
VISA Expiry Date	2026-11-22
Date Of Birth	2006-10-12
Sector Code	1019 - Self Employed
Nationality	United Arab Emirates
Assan Account	YES
Marital Status	SINGLE
Customer Title	Mr.
Gender	MALE
First Name	JOSH
Middle Name	FRANK
Last Name	ROCK
Father's Name	VIN
Mother's Name	ADELE
Occupation	133 - PRIVATE SERVICE
Industry Code	5101 - Arms Manufacturer/Arms Dealer
Tax Reason (CRS)	REASON A
Tax Residence (CRS)	NO
